Date,City,Temperature_C,Rainfall_mm,WindSpeed_kmh
2026-04-01,Tehran,18.5,0.0,15
2026-04-02,Tabriz,12.0,5.2,22
2026-04-03,Ahvaz,8.5,12.0,30
2026-04-04,Tehran,20.1,0.0,10
2026-04-05,Shiraz,32.0,0.0,8
2026-04-06,Tabriz,10.5,8.5,25
2026-04-07,Ahvaz,15.0,,18
2026-04-08,Shiraz,35.2,0.0,12
2026-04-09,Isfahan,22.3,0.2,14
2026-04-10,Mashhad,14.5,12.3,28
2026-04-11,Karaj,19.0,0.0,9
2026-04-12,Shiraz,33.1,0.0,7
2026-04-13,Tabriz,9.8,15.2,33
2026-04-14,Ahvaz,38.0,0.0,20
2026-04-15,Tehran,23.4,0.5,16
2026-04-16,Isfahan,,,11
2026-04-17,Mashhad,17.2,8.0,21
2026-04-18,Karaj,25.0,0.0,13
2026-04-19,Shiraz,34.5,0.0,9
2026-04-20,Ahvaz,40.2,0.0,25
2026-04-21,Tabriz,11.3,10.2,29
2026-04-22,Tehran,26.1,0.0,16
2026-04-23,Isfahan,28.0,0.0,12
2026-04-24,Mashhad,19.5,5.0,24
2026-04-25,Karaj,21.0,0.0,
2026-04-26,Ahvaz,42.0,0.0,32
2026-04-27,Shiraz,36.2,0.0,11
2026-04-28,Tabriz,8.0,20.5,35
2026-04-29,Tehran,24.0,0.0,17
2026-04-30,Isfahan,30.1,0.0,14
2026-05-01,Mashhad,16.8,7.5,26
2026-05-02,Karaj,22.0,0.0,10
2026-05-03,Shiraz,37.5,0.0,8
2026-05-04,Ahvaz,43.0,0.0,28
2026-05-05,Tabriz,13.5,9.0,27
2026-05-06,Tehran,27.0,0.0,14
2026-05-07,Isfahan,29.5,0.0,11
2026-05-08,Mashhad,20.2,4.0,22
2026-05-09,Karaj,24.5,0.0,15
2026-05-10,Shiraz,38.2,0.0,7
2026-05-11,Ahvaz,44.5,0.0,30
2026-05-12,Tabriz,14.0,12.0,32
2026-05-13,Tehran,28.5,0.0,18
2026-05-14,Isfahan,,0.0,13
2026-05-15,Mashhad,21.5,3.5,20
2026-05-16,Karaj,26.0,0.0,12
2026-05-17,Shiraz,39.0,0.0,9
2026-05-18,Ahvaz,45.0,0.0,35
2026-05-19,Tabriz,15.0,14.0,28
2026-05-20,Tehran,29.0,0.0,19
2026-05-21,Isfahan,31.0,0.0,14
2026-05-22,Mashhad,22.5,5.0,23
2026-05-23,Karaj,27.0,0.0,11
2026-05-24,Shiraz,40.5,0.0,7
2026-05-25,Ahvaz,46.0,0.0,33
2026-05-26,Tabriz,16.0,10.5,30
2026-05-27,Tehran,30.5,0.0,20
2026-05-28,Isfahan,32.5,0.0,15
2026-05-29,Mashhad,23.0,6.0,25
2026-05-30,Karaj,28.0,0.0,12
2026-05-31,Shiraz,41.0,0.0,8
2026-06-01,Ahvaz,47.0,0.0,36
2026-06-02,Tabriz,17.0,11.5,31
2026-06-03,Tehran,31.5,0.0,21
2026-06-04,Isfahan,33.0,0.0,16
2026-06-05,Mashhad,24.5,4.5,26
2026-06-06,Karaj,29.0,0.0,13
2026-06-07,Shiraz,42.0,0.0,9
2026-06-08,Ahvaz,48.0,0.0,37
2026-06-09,Tabriz,18.0,13.0,33
2026-06-10,Tehran,32.5,0.0,22
2026-06-11,Isfahan,34.0,0.0,17
2026-06-12,Mashhad,25.5,5.5,27
2026-06-13,Karaj,30.0,0.0,14
2026-06-14,Shiraz,43.0,0.0,10
2026-06-15,Ahvaz,49.0,0.0,38
2026-06-16,Tabriz,18.5,14.0,34
2026-06-17,Tehran,33.0,0.0,23
2026-06-18,Isfahan,35.0,0.0,18
2026-06-19,Mashhad,26.0,6.0,28
2026-06-20,Karaj,31.0,0.0,15
2026-06-21,Shiraz,44.0,0.0,11
2026-06-22,Ahvaz,50.0,0.0,39
2026-06-23,Tabriz,19.0,15.0,35
2026-06-24,Tehran,34.0,0.0,24
2026-06-25,Isfahan,36.0,0.0,19
2026-06-26,Mashhad,27.0,7.0,29
2026-06-27,Karaj,32.0,0.0,16
2026-06-28,Shiraz,45.0,0.0,12
2026-06-29,Ahvaz,51.0,0.0,40
2026-06-30,Tabriz,20.0,16.0,36
2026-07-01,Tehran,35.0,0.0,25
2026-07-02,Isfahan,37.0,0.0,20
2026-07-03,Mashhad,28.0,8.0,30
2026-07-04,Karaj,33.0,0.0,17
2026-07-05,Shiraz,46.0,0.0,13
2026-07-06,Ahvaz,52.0,0.0,41
2026-07-07,Tabriz,21.0,17.0,37
2026-07-08,Tehran,36.0,0.0,26
2026-07-09,Isfahan,38.0,0.0,21
2026-07-10,Mashhad,29.0,9.0,31
2026-07-11,Karaj,34.0,0.0,18
2026-07-12,Shiraz,47.0,0.0,14
2026-07-13,Ahvaz,53.0,0.0,42
2026-07-14,Tabriz,22.0,18.0,38
2026-07-15,Tehran,37.0,0.0,27
2026-07-16,Isfahan,39.0,0.0,22
2026-07-17,Mashhad,30.0,10.0,32
2026-07-18,Karaj,35.0,0.0,19
2026-07-19,Shiraz,48.0,0.0,15
2026-07-20,Ahvaz,54.0,0.0,43
2026-07-21,Tabriz,23.0,19.0,39
2026-07-22,Tehran,38.0,0.0,28
2026-07-23,Isfahan,40.0,0.0,23
2026-07-24,Mashhad,31.0,11.0,33
2026-07-25,Karaj,36.0,0.0,20
2026-07-26,Shiraz,49.0,0.0,16
2026-07-27,Ahvaz,55.0,0.0,44
2026-07-28,Tabriz,24.0,20.0,40
2026-07-29,Tehran,39.0,0.0,29
2026-07-30,Isfahan,41.0,0.0,24
2026-07-31,Mashhad,32.0,12.0,34
2026-08-01,Karaj,37.0,0.0,21
2026-08-02,Shiraz,50.0,0.0,17
2026-08-03,Ahvaz,56.0,0.0,45
2026-08-04,Tabriz,25.0,21.0,41
2026-08-05,Tehran,40.0,0.0,30
2026-08-06,Isfahan,42.0,0.0,25
2026-08-07,Mashhad,33.0,13.0,35
2026-08-08,Karaj,38.0,0.0,22
2026-08-09,Shiraz,51.0,0.0,18
2026-08-10,Ahvaz,57.0,0.0,46
2026-08-11,Tabriz,26.0,22.0,42
2026-08-12,Tehran,41.0,0.0,31
2026-08-13,Isfahan,43.0,0.0,26
2026-08-14,Mashhad,34.0,14.0,36
2026-08-15,Karaj,39.0,0.0,23
2026-08-16,Shiraz,52.0,0.0,19
2026-08-17,Ahvaz,58.0,0.0,47
2026-08-18,Tabriz,27.0,23.0,43
2026-08-19,Tehran,42.0,0.0,32
2026-08-20,Isfahan,44.0,0.0,27
2026-08-21,Mashhad,35.0,15.0,37
2026-08-22,Karaj,40.0,0.0,24
2026-08-23,Shiraz,53.0,0.0,20
2026-08-24,Ahvaz,59.0,0.0,48
2026-08-25,Tabriz,28.0,24.0,44
2026-08-26,Tehran,43.0,0.0,33
2026-08-27,Isfahan,45.0,0.0,28
2026-08-28,Mashhad,36.0,16.0,38
2026-08-29,Karaj,41.0,0.0,25
2026-08-30,Shiraz,54.0,0.0,21
